mangaid,sfr_tot,nsa_sersic_mass
1.48157,0.1787631,3.06801E+09
1.48157,0.1295564,3.06801E+09
1.48188,0.08225817,5.34165E+09
1.48188,0.001609006,5.34165E+09
1.55648,0.2458314,1.36935E+10
1.55648,0.07654656,1.36935E+10
1.55616,0.04831915,4.28664E+09
1.55616,0.03668469,4.28664E+09
1.55784,0.5468802,1.29873E+10
1.55784,0.3113099,1.29873E+10
1.55567,0.0166577,1.34016E+09
1.55567,0.009661085,1.34016E+09
1.48201,0.00142041,1.45348E+10
1.48201,0.001205346,1.45348E+10
1.48111,0.002493903,6.86554E+09
1.48111,0.001146541,6.86554E+09
1.48136,0.161268,6.85918E+09
1.48136,0.1528755,6.85918E+09
1.55612,0.1167489,3.74664E+09
1.55612,0.0650736,3.74664E+09
1.48223,0.02321807,2.17985E+10
1.48223,0.01772067,2.17985E+10
1.55683,0.05189223,7.89797E+10
1.55683,0.01401742,7.89797E+10
1.48116,0.2185775,2.25883E+10
1.48116,0.1885055,2.25883E+10
1.48208,0.01024062,4.0896E+10
1.48208,0.006573532,4.0896E+10
1.55529,0.08022501,1.29253E+11
1.55529,0.06386478,1.29253E+11
1.48189,0.2293159,2.37395E+09
1.48189,0.1283783,2.37395E+09
1.55552,0.06385665,7.15415E+10
1.55552,0.02820953,7.15415E+10
12.98126,0.001575575,5.37283E+09
12.98126,0.001201731,5.37283E+09
12.84674,0.445597,2.5869E+10
12.84674,0.2179433,2.5869E+10
12.193481,2.731426,3.20027E+10
12.193481,2.621904,3.20027E+10
12.84731,0.1047167,8.6699E+09
12.84731,0.08383331,8.6699E+09
12.84627,0.5606331,2.25918E+10
12.84627,0.2375434,2.25918E+10
12.84620,0.04711321,1.48579E+09
12.84620,0.0440793,1.48579E+09
12.49536,0.000480477,2.86035E+09
12.49536,0.0004186998,2.86035E+09
12.193534,0.04030031,6.85888E+08
12.193534,0.02785563,6.85888E+08
12.84670,0.03104979,1.17033E+11
12.84670,0.01166115,1.17033E+11
12.180451,0,4.36144E+08
12.180451,0,4.36144E+08
12.84617,0.03878611,6.71068E+08
12.84617,0.02525404,6.71068E+08
12.84726,0.0378349,7.34654E+08
12.84726,0.006758087,7.34654E+08
12.180432,0.6338431,1.48885E+10
12.180432,0.6191705,1.48885E+10
12.84665,0.1438799,2.06391E+09
12.84665,0.1306153,2.06391E+09
12.84677,0.1187487,9.75547E+10
12.84677,0.08496821,9.75547E+10
12.84660,0.7455677,2.08703E+10
12.84660,0.6126574,2.08703E+10
12.84679,0.04650297,1.36696E+11
12.84679,0.01575623,1.36696E+11
12.192120,0.1238253,2.1436E+10
12.192120,0.01780571,2.1436E+10
12.129612,0.2323922,1.90429E+10
12.129612,0.1677461,1.90429E+10
12.129646,0.3171748,1.50728E+10
12.129646,0.2494705,1.50728E+10
12.129618,0.3781295,2.95603E+10
12.129618,0.3371123,2.95603E+10
12.129629,0.243007,4.45464E+10
12.129629,0.03086535,4.45464E+10
12.110746,0.001875233,4.89661E+09
12.110746,0.001016226,4.89661E+09
12.129608,0.01156212,2.9591E+09
12.129608,0.009446881,2.9591E+09
12.129446,0.7790158,5.01541E+10
12.129446,0.675658,5.01541E+10
12.192149,0.07887642,2.80712E+09
12.192149,0.06478317,2.80712E+09
12.110756,0.04447456,1.80037E+09
12.110756,0.03566115,1.80037E+09
12.129601,0.01329367,2.11064E+10
12.129601,0.01263084,2.11064E+10
12.129434,0.02560844,7.1112E+08
12.129434,0.01229246,7.1112E+08
12.192116,0.2835445,5.45771E+08
12.192116,0.2372367,5.45771E+08
12.129602,0.01150244,5.92161E+08
12.129602,0.0001266736,5.92161E+08
12.129534,0.01567098,1.28563E+09
12.129534,0.005835128,1.28563E+09
12.129610,0.0600118,7.61102E+08
12.129610,0.01856155,7.61102E+08
12.129609,0.01756832,1.36563E+10
12.129609,0.01411857,1.36563E+10
1.113567,0.03222784,7.70445E+08
1.113567,0.004764849,7.70445E+08
1.113567,0.01229676,7.70445E+08
1.113567,0.002855568,7.70445E+08
1.113469,0.08963463,2.51653E+09
1.113469,0.01108838,2.51653E+09
1.113469,0.08741742,2.51653E+09
1.113469,0.002474493,2.51653E+09
1.113403,0.1525753,3.16308E+10
1.113403,0.07100639,3.16308E+10
1.113418,0.3333851,3.37884E+10
1.113418,0.2451832,3.37884E+10
1.635503,0.6735116,2.29728E+10
1.635503,0.6005893,2.29728E+10
1.635503,0.5200244,2.29728E+10
1.635503,0.4909427,2.29728E+10
1.113520,0.002849528,3.06894E+09
1.113520,0.002383579,3.06894E+09
1.113525,0.000286455,1.77562E+09
1.113525,0.000164132,1.77562E+09
1.113525,0.00061996,1.77562E+09
1.113525,7.923295E.05,1.77562E+09
1.113525,0.0008462489,1.77562E+09
1.113525,8.242652E.05,1.77562E+09
1.113468,0.3358141,1.02987E+11
1.113468,0.04970163,1.02987E+11
1.113540,0.4846518,1.0525E+10
1.113540,0.4650545,1.0525E+10
1.113585,0.009376763,9.06604E+10
1.113585,0.003333599,9.06604E+10
1.113651,0.1487617,3.94523E+10
1.113651,0.07638831,3.94523E+10
1.113379,0.03016782,5.36241E+08
1.113379,0.02280331,5.36241E+08
1.113379,0.0269685,5.36241E+08
1.113379,0.02157695,5.36241E+08
1.113668,0.1114903,1.56419E+11
1.113668,0.05892349,1.56419E+11
1.113521,2.946267,1.35007E+11
1.113521,1.19032,1.35007E+11
1.113712,3.097968,3.1072E+10
1.113712,2.402334,3.1072E+10
1.113375,0.161494,6.63632E+09
1.113375,0.09426635,6.63632E+09
1.113375,0.1609844,6.63632E+09
1.113375,0.06546535,6.63632E+09
1.113219,0.1400667,2.35501E+09
1.113219,0.0598137,2.35501E+09
1.546816,0.05626156,2.87752E+09
1.546816,0.001000362,2.87752E+09
1.547131,0.4069888,9.38968E+09
1.547131,0.3484814,9.38968E+09
1.547210,0.3884211,1.64999E+11
1.547210,0.1116025,1.64999E+11
1.546807,0.3026426,1.14898E+10
1.546807,0.1244138,1.14898E+10
1.547159,0.657523,4.79808E+10
1.547159,0.1773334,4.79808E+10
1.634477,0.0005249301,4.93214E+09
1.634477,0.0003701051,4.93214E+09
1.547135,0.002338323,2.15973E+10
1.547135,0.001886795,2.15973E+10
1.634538,0.02813185,5.37003E+10
1.634538,0.02618852,5.37003E+10
1.547180,0.0006927847,5.54514E+09
1.547180,8.90722E.05,5.54514E+09
1.546813,0.09986439,9.45699E+08
1.546813,0.07859809,9.45699E+08
1.547107,0.06264453,1.76392E+09
1.547107,0.04508302,1.76392E+09
1.561020,0.0127663,5.44593E+10
1.561020,0.01183806,5.44593E+10
1.561039,0.03123288,9.70861E+09
1.561039,0.02803674,9.70861E+09
1.546834,0.0157321,5.17392E+10
1.546834,0.01497565,5.17392E+10
1.595044,0.4297416,4.18442E+09
1.595044,0.3762392,4.18442E+09
1.177296,0.1182553,2.14252E+09
1.177296,0.02907807,2.14252E+09
1.547185,0.3471275,9.78009E+09
1.547185,0.2459024,9.78009E+09
1.177285,0.1728778,1.2452E+09
1.177285,0.02983022,1.2452E+09
1.177745,0.09448598,2.73622E+09
1.177745,0.001880516,2.73622E+09
1.547415,0.07958522,4.53132E+09
1.547415,0.0190401,4.53132E+09
1.546966,0.3376706,6.8612E+09
1.546966,0.2549798,6.8612E+09
1.177762,0.1361822,2.72258E+09
1.177762,0.02822779,2.72258E+09
1.177236,0.006487624,5.09181E+09
1.177236,0.004148195,5.09181E+09
1.177236,0.006207224,5.09181E+09
1.177236,0.004492835,5.09181E+09
1.547433,0.04732653,3.38156E+09
1.547433,0.03269916,3.38156E+09
1.177735,0.02169183,1.39616E+11
1.177735,0.005336989,1.39616E+11
1.177284,0.4670384,2.40092E+10
1.177284,0.4397988,2.40092E+10
1.177250,0.01690311,2.12597E+10
1.177250,0.01339529,2.12597E+10
1.177250,0.01739152,2.12597E+10
1.177250,0.01367543,2.12597E+10
1.547341,0.006510213,3.84957E+09
1.547341,0.002883348,3.84957E+09
1.547086,0.2060755,1.48719E+10
1.547086,0.1862513,1.48719E+10
1.547018,0.05099232,1.00461E+11
1.547018,0.0384285,1.00461E+11
1.547106,0.03429857,3.39977E+10
1.547106,0.01736337,3.39977E+10
1.547403,0.0304188,1.55709E+11
1.547403,0.01491283,1.55709E+11
1.547402,0.08939521,5.26118E+09
1.547402,0.04822939,5.26118E+09
1.547039,0.1120839,1.4323E+11
1.547039,0.05943443,1.4323E+11
1.177626,0.5984076,3.42488E+10
1.177626,0.5053839,3.42488E+10
1.561017,0.07003371,1.56561E+10
1.561017,0.02896133,1.56561E+10
1.561017,0.03836408,1.56561E+10
1.561017,0.02156259,1.56561E+10
1.178170,0.1531327,6.49984E+09
1.178170,0.05447073,6.49984E+09
1.177542,0.5113565,9.94541E+09
1.177542,0.4371808,9.94541E+09
1.178130,0.3784986,1.5005E+10
1.178130,0.2601116,1.5005E+10
1.561016,0.01544,2.03481E+11
1.561016,0.00928924,2.03481E+11
1.177617,0.006116616,4.34138E+10
1.177617,0.006150211,4.34138E+10
1.177493,0.1268898,9.61464E+10
1.177493,0.08458927,9.61464E+10
1.177528,0.05150595,1.43422E+10
1.177528,0.03869666,1.43422E+10
1.547295,0.08714028,5.08735E+09
1.547295,0.05586392,5.08735E+09
1.177533,0.2143681,1.16511E+09
1.177533,0.1577947,1.16511E+09
1.177529,0.0456681,1.04345E+09
1.177529,0.01450677,1.04345E+09
1.178157,0.09478621,1.97488E+09
1.178157,0.067733,1.97488E+09
1.177763,0.1072738,3.825E+09
1.177763,0.08908143,3.825E+09
1.178169,0.03003051,1.72722E+10
1.178169,0.003882561,1.72722E+10
1.547621,0.03766455,1.93053E+09
1.547621,0.007070834,1.93053E+09
1.547290,0.05034037,2.7319E+11
1.547290,0.01144978,2.7319E+11
1.177822,0.1168533,4.57358E+09
1.177822,0.01799704,4.57358E+09
1.178265,0.5305557,1.01387E+10
1.178265,0.1600744,1.01387E+10
1.178586,0.5270442,7.90884E+10
1.178586,0.2893396,7.90884E+10
1.178414,0.1995645,8.05292E+09
1.178414,0.1595271,8.05292E+09
1.178276,0.4461215,9.59106E+09
1.178276,0.3326783,9.59106E+09
1.178405,0.003963273,7.95273E+09
1.178405,0.003328987,7.95273E+09
1.178270,0.001731366,6.64649E+09
1.178270,0.001007917,6.64649E+09
1.178473,0.006799902,1.70487E+10
1.178473,0.003481504,1.70487E+10
1.178473,0.008111193,1.70487E+10
1.178473,0.004852536,1.70487E+10
1.177796,0.03614378,1.15727E+11
1.177796,0.009915243,1.15727E+11
1.178541,0.01618711,7.37127E+10
1.178541,0.009336808,7.37127E+10
1.178204,0.005272414,9.15971E+09
1.178204,0.002080498,9.15971E+09
1.178442,0.06648274,1.20403E+11
1.178442,0.02370974,1.20403E+11
1.178442,0.03760123,1.20403E+11
1.178442,0.009297449,1.20403E+11
1.178233,0.1812298,2.63747E+11
1.178233,0.1298558,2.63747E+11
1.178533,0.03704661,2.04985E+11
1.178533,0.01175653,2.04985E+11
1.178443,0.5025977,1.19147E+10
1.178443,0.2900195,1.19147E+10
1.178443,0.4054592,1.19147E+10
1.178443,0.2760602,1.19147E+10
1.178482,1.039779,9.57679E+10
1.178482,0.6905684,9.57679E+10
1.178550,0.01162104,2.331E+10
1.178550,0.005253692,2.331E+10
1.179247,0.09103902,3.23697E+09
1.179247,0.007869472,3.23697E+09
1.179139,0.2205574,9.45336E+10
1.179139,0.04988571,9.45336E+10
1.179535,0.04317257,2.03351E+10
1.179535,0.02544182,2.03351E+10
1.179479,0.5403767,5.7035E+10
1.179479,0.2905942,5.7035E+10
1.179151,0.02621405,3.56468E+09
1.179151,0.01575544,3.56468E+09
1.179372,0.2561466,5.20421E+10
1.179372,0.0009619155,5.20421E+10
1.179682,0.004198004,3.8808E+09
1.179682,0.002706457,3.8808E+09
1.179289,0.01525823,1.61644E+10
1.179289,0.009536651,1.61644E+10
1.179248,0.01925484,2.50148E+10
1.179248,0.01330102,2.50148E+10
1.179530,0.01442907,2.61093E+10
1.179530,0.009823683,2.61093E+10
1.179395,0.05663367,7.92708E+08
1.179395,0.04671853,7.92708E+08
1.179386,0.6919407,4.57445E+10
1.179386,0.5249663,4.57445E+10
1.179385,0.07679743,1.77096E+09
1.179385,0.03806528,1.77096E+09
1.179135,0.023177,2.57455E+10
1.179135,0.01386002,2.57455E+10
1.179351,0.3063141,1.00124E+11
1.179351,0.07104916,1.00124E+11
1.179503,0.8652179,2.26482E+10
1.179503,0.645735,2.26482E+10
1.179679,0.9164538,7.24513E+10
1.179679,0.7734904,7.24513E+10
1.180513,0.306534,2.35715E+10
1.180513,0.1294835,2.35715E+10
1.180336,0.250667,1.47402E+10
1.180336,0.1224231,1.47402E+10
1.180629,1.149047,1.37406E+11
1.180629,0.1446054,1.37406E+11
