mangaid,ha_z
1-48157,0.03919759
1-48157,0.03919759
1-48188,0.04082723
1-48188,0.04080285
1-55648,0.04624034
1-55648,0.04624035
1-55616,0.0141176
1-55616,0.0141176
1-55784,0.04618407
1-55784,0.04618407
1-55567,0.02574173
1-55567,0.0257411
1-48201,0.02609777
1-48201,0.02487674
1-48111,0.04086497
1-48111,0.0408908
1-48136,0.02560419
1-48136,0.02560419
1-55612,0.04056639
1-55612,0.04056639
1-48223,0.0308318
1-48223,0.03083181
1-55683,0.119025
1-55683,0.1190277
1-48116,0.02616176
1-48116,0.02616175
1-48208,0.04056103
1-48208,0.04056147
1-55529,0.06727458
1-55529,0.06727462
1-48189,0.04007251
1-48189,0.04007251
1-55552,0.08038741
1-55552,0.08038738
12-98126,0.01720736
12-98126,0.01720195
12-84674,0.05754709
12-84674,0.05754709
12-193481,0.04031484
12-193481,0.04031484
12-84731,0.01873991
12-84731,0.01873991
12-84627,0.06444086
12-84627,0.06444086
12-84620,0.01876085
12-84620,0.01876085
12-49536,0.01886381
12-49536,0.01883876
12-193534,0.01790063
12-193534,0.01790063
12-84670,0.1106535
12-84670,0.1106533
12-180451,0
12-180451,0
12-84617,0.02264691
12-84617,0.02264691
12-84726,0.03090071
12-84726,0.0309007
12-180432,0.02790598
12-180432,0.02790598
12-84665,0.01834178
12-84665,0.01834178
12-84677,0.07507517
12-84677,0.0750753
12-84660,0.04048429
12-84660,0.04048428
12-84679,0.09182951
12-84679,0.09175479
12-192120,0.06198547
12-192120,0.06198549
12-129612,0.0284572
12-129612,0.0284572
12-129646,0.02987477
12-129646,0.02987477
12-129618,0.02900372
12-129618,0.02900371
12-129629,0.07626099
12-129629,0.07626108
12-110746,0.03064842
12-110746,0.03064223
12-129608,0.03181861
12-129608,0.03181861
12-129446,0.0670627
12-129446,0.06706271
12-192149,0.02755195
12-192149,0.02755195
12-110756,0.02857917
12-110756,0.02857917
12-129601,0.03048063
12-129601,0.03048066
12-129434,0.02671298
12-129434,0.02671298
12-192116,0.02616644
12-192116,0.02616644
12-129602,-999
12-129602,-999
12-129534,0.02950236
12-129534,0.02950226
12-129610,0.03241436
12-129610,0.03241436
12-129609,0.02901297
12-129609,0.02901297
1-113567,0.01676921
1-113567,0.0167686
1-113567,0.01676088
1-113567,0.01675995
1-113469,0.03941652
1-113469,0.0394165
1-113469,0.03943216
1-113469,0.03942659
1-113403,0.07151563
1-113403,0.07151563
1-113418,0.04303943
1-113418,0.04303942
1-635503,0.0292713
1-635503,0.0292713
1-635503,0.02927077
1-635503,0.02927077
1-113520,0.01683027
1-113520,0.01683025
1-113525,0.01651438
1-113525,0.01649889
1-113525,0.0174179
1-113525,0.01741079
1-113525,0.01934818
1-113525,0.01921826
1-113468,0.1363129
1-113468,0.1363128
1-113540,0.02939402
1-113540,0.02939402
1-113585,0.07044572
1-113585,0.07043602
1-113651,0.07092505
1-113651,0.07092509
1-113379,0.01716448
1-113379,0.01716447
1-113379,0.01716626
1-113379,0.01716626
1-113668,0.1291421
1-113668,0.129142
1-113521,0.1350156
